x-axis,y-axis,z-axis,sensor,rssi,phase,frequency,room_id,gender,activity
1.1045,0.0091865,-0.12771,1,-56.5,4.9701,924.25,1,1,1
0.2603,0.99674,-0.025087,1,-59.5,1.0492,925.75,1,1,0
1.1397,-0.025263,-0.11631,1,-57.5,1.0677,925.25,1,1,1
0.17823,1.0312,-0.047893,1,-59.5,0.68109,922.25,1,1,0
0.50654,0.91636,0.10035,1,-59.5,1.5417,921.25,1,1,0
1.0459,0.043636,-0.15052,1,-57.5,1.1474,925.25,1,1,1
0.30721,0.97377,0.020525,1,-58.5,0.69489,922.25,1,1,0
0.23685,0.98526,0.077541,1,-63.0,1.9972,922.75,1,1,0
1.2101,-0.048229,-0.093505,1,-57.0,0.46326,925.75,1,1,1
1.0811,0.0091865,-0.12771,1,-57.0,4.9931,924.25,1,1,1
1.1163,-0.0022966,-0.11631,1,-57.5,1.0155,925.25,1,1,1
1.0928,0.0091865,-0.12771,1,-57.0,1.3944,924.75,1,1,1
1.1632,-0.025263,-0.093505,1,-55.5,5.6435,920.25,1,1,1
1.0459,0.043636,-0.15052,1,-56.0,5.6834,920.25,1,1,1
0.34238,0.97377,0.043332,1,-59.0,0.19942,922.75,1,1,0
0.23685,1.0197,-0.025087,1,-59.0,1.3898,925.25,1,1,0
1.2921,-0.25493,-0.11631,1,-57.0,0.53383,925.75,1,1,1
1.2335,-0.071196,-0.059296,1,-57.5,0.95567,925.25,1,1,1
0.2603,1.0082,-0.0022806,1,-59.0,5.099,924.25,1,1,0
1.0811,0.0091865,-0.13912,1,-56.0,1.5923,921.25,1,1,1
1.257,-0.082679,-0.059296,1,-56.0,5.6236,920.25,1,1,1
0.42446,0.92784,0.14596,1,-68.0,5.461,922.25,1,1,0
1.128,-0.0022966,-0.11631,1,-56.0,1.0354,921.75,1,1,1
0.65897,0.85894,0.054735,1,-67.0,1.5616,921.25,1,1,0
1.2687,-0.094162,-0.059296,1,-55.5,5.1803,920.75,1,1,1
1.1045,0.02067,-0.12771,1,-57.0,4.964,924.25,1,1,1
1.0576,0.032153,-0.13912,1,-56.0,5.6174,920.25,1,1,1
0.22513,1.0197,-0.025087,1,-59.0,0.22856,922.75,1,1,0
1.0225,0.043636,-0.16192,1,-56.5,5.8337,923.25,1,1,1
1.3156,-0.10565,-0.03649,1,-56.0,5.6604,920.25,1,1,1
1.3156,-0.094162,-0.03649,1,-56.0,5.4594,923.75,1,1,1
1.1045,-0.0022966,-0.12771,1,-56.5,5.013,924.25,1,1,1
0.65897,0.85894,0.054735,1,-67.0,1.5616,921.25,1,1,0
1.3508,-0.094162,-0.03649,1,-55.5,5.1849,920.75,1,1,1
0.15478,1.0427,-0.047893,1,-58.5,5.461,924.25,1,1,0
1.2921,-0.25493,-0.11631,1,-57.0,0.53383,925.75,1,1,1
1.0107,0.055119,-0.17333,1,-56.0,5.8936,923.25,1,1,1
1.1514,-0.01378,-0.093505,1,-56.0,1.0861,921.75,1,1,1
1.0459,0.055119,-0.15052,1,-56.0,5.5591,923.75,1,1,1
0.33066,0.97377,0.043332,1,-59.0,1.2226,921.75,1,1,0
1.128,-0.01378,-0.10491,1,-55.5,5.1281,920.75,1,1,1
1.0225,0.032153,-0.16192,1,-56.0,0.59365,922.25,1,1,1
0.58862,0.90487,0.0091224,1,-67.0,0.72864,922.25,1,1,0
0.50654,0.91636,0.12315,1,-59.5,1.623,921.25,1,1,0
1.0342,0.055119,-0.16192,1,-57.0,4.6342,924.75,1,1,1
1.0576,0.0091865,-0.16192,1,-57.0,0.51849,925.75,1,1,1
0.17823,1.0312,-0.047893,1,-60.5,3.7966,925.75,1,1,0
0.24858,0.98526,0.088944,1,-64.5,5.7632,921.75,1,1,0
1.1163,-0.025263,-0.11631,1,-56.5,5.4686,923.75,1,1,1
0.44791,0.92784,0.088944,1,-59.5,1.5463,921.25,1,1,0
0.42446,0.92784,0.14596,1,-68.0,5.461,922.25,1,1,0
1.3508,-0.11713,-0.025087,1,-56.5,5.3919,923.75,1,1,1
0.30721,0.97377,0.020525,1,-58.5,0.69489,922.25,1,1,0
0.44791,0.92784,0.077541,1,-59.5,2.0157,920.75,1,1,0
1.0342,0.055119,-0.16192,1,-57.0,4.6342,924.75,1,1,1
0.17823,1.0312,-0.047893,1,-59.0,6.0439,923.25,1,1,0
1.3156,-0.10565,-0.03649,1,-55.5,4.7339,921.25,1,1,1
0.63552,0.85894,0.054735,1,-67.5,5.214,920.75,1,1,0
1.1514,-0.01378,-0.093505,1,-56.0,1.0861,921.75,1,1,1
1.3156,-0.094162,-0.03649,1,-58.5,0.54763,925.75,1,1,1
0.24858,0.99674,0.066138,1,-62.5,1.5616,923.25,1,1,0
0.2134,1.0427,-0.025087,1,-59.0,0.65348,922.25,1,1,0
0.65897,0.83597,0.066138,1,-67.5,4.7139,921.25,1,1,0
1.0928,0.0091865,-0.11631,1,-56.5,4.9747,924.25,1,1,1
0.34238,0.96229,0.043332,1,-60.0,1.9926,920.75,1,1,0
0.34238,0.96229,0.043332,1,-59.0,5.0744,924.25,1,1,0
0.29548,0.99674,-0.0022806,1,-59.0,0.73478,922.25,1,1,0
1.3156,-0.094162,-0.03649,1,-56.0,5.4594,923.75,1,1,1
0.97555,0.066602,-0.18473,1,-56.0,5.4226,923.75,1,1,1
1.1397,-0.01378,-0.093505,1,-57.0,1.4926,924.75,1,1,1
1.1045,0.0091865,-0.12771,1,-56.5,1.8193,924.25,1,1,1
1.2218,-0.059712,-0.070699,1,-57.0,1.4389,924.75,1,1,1
1.0811,0.0091865,-0.12771,1,-55.5,1.6153,921.25,1,1,1
0.2603,0.99674,-0.025087,1,-58.0,0.049087,923.25,1,1,0
0.43619,0.93932,0.077541,1,-60.0,3.6677,925.75,1,1,0
1.128,-0.01378,-0.10491,1,-56.0,0.079767,922.75,1,1,1
0.97555,0.066602,-0.18473,1,-58.5,0.51542,925.75,1,1,1
1.0342,0.055119,-0.16192,1,-55.5,5.2109,920.75,1,1,1
0.34238,0.96229,0.054735,1,-59.0,5.9549,923.25,1,1,0
1.2687,-0.082679,-0.047893,1,-57.0,1.491,924.75,1,1,1
1.1514,-0.025263,-0.11631,1,-55.5,0.11198,922.75,1,1,1
1.0811,-0.0022966,-0.13912,1,-56.5,1.8377,924.25,1,1,1
0.23685,1.0082,0.066138,1,-64.5,5.958,921.75,1,1,0
1.0811,0.0091865,-0.12771,1,-56.5,5.0836,924.25,1,1,1
0.50654,0.91636,0.12315,1,-59.5,1.623,921.25,1,1,0
1.1045,0.0091865,-0.12771,1,-56.5,4.9701,924.25,1,1,1
1.3508,-0.11713,-0.025087,1,-55.5,5.6481,920.25,1,1,1
0.28376,0.97377,0.077541,1,-57.5,0.7133,922.25,1,1,0
1.0459,0.055119,-0.15052,1,-56.5,6.0255,923.25,1,1,1
1.2687,-0.082679,-0.059296,1,-56.0,5.8982,923.25,1,1,1
0.17823,1.0312,-0.03649,1,-58.5,0.0061359,923.25,1,1,0
1.0459,0.055119,-0.15052,1,-58.0,0.62586,925.75,1,1,1
1.128,-0.01378,-0.10491,1,-56.0,0.079767,922.75,1,1,1
0.31893,0.95081,0.10035,1,-62.5,2.0601,922.75,1,1,0
0.24858,1.0312,-0.0022806,1,-58.5,0.39117,922.75,1,1,0
1.1632,-0.025263,-0.093505,1,-56.0,5.3981,923.75,1,1,1
1.1163,-0.0022966,-0.10491,1,-56.5,5.3873,923.75,1,1,1
0.98728,0.089569,-0.11631,1,-56.0,6.1114,923.25,1,1,1
0.15478,1.0427,-0.047893,1,-59.0,4.6142,925.25,1,1,0
1.3742,-0.11713,-0.025087,1,-56.5,0.93573,925.25,1,1,1
1.0928,0.0091865,-0.11631,1,-56.5,4.9747,924.25,1,1,1
1.3273,-0.11713,-0.025087,1,-56.0,5.6358,920.25,1,1,1
1.0225,0.055119,-0.15052,1,-56.0,0.59058,922.25,1,1,1
1.0342,0.055119,-0.16192,1,-55.5,5.2109,920.75,1,1,1
1.3039,-0.10565,-0.03649,1,-56.0,5.5392,923.75,1,1,1
1.0342,0.043636,-0.16192,1,-56.5,1.8454,924.25,1,1,1
1.2921,-0.10565,-0.047893,1,-55.5,4.3995,921.75,1,1,1
0.1665,1.0427,0.020525,1,-62.0,0.56757,924.75,1,1,0
1.1397,-0.01378,-0.10491,1,-56.0,5.4502,923.75,1,1,1
1.0459,0.055119,-0.15052,1,-58.0,0.62586,925.75,1,1,1
1.2335,-0.071196,-0.070699,1,-57.5,1.0677,925.25,1,1,1
-0.15009,1.0312,0.066138,1,-61.0,1.3514,923.25,1,1,0
0.24858,0.98526,0.066138,1,-63.5,4.3381,923.75,1,1,0
0.17823,1.0312,-0.03649,1,-58.5,0.0061359,923.25,1,1,0
-0.021106,1.1805,-0.013684,1,-68.0,2.5648,924.25,1,1,0
1.1632,-0.025263,-0.093505,1,-56.5,5.395,923.75,1,1,1
0.50654,0.91636,0.10035,1,-59.5,1.5417,921.25,1,1,0
1.0459,0.055119,-0.16192,1,-55.5,1.5923,921.25,1,1,1
1.0811,0.0091865,-0.13912,1,-56.5,5.0759,924.25,1,1,1
1.0811,0.02067,-0.13912,1,-56.5,5.1572,924.25,1,1,1
0.97555,0.066602,-0.18473,1,-56.0,5.4226,923.75,1,1,1
0.43619,0.90487,0.15736,1,-64.0,5.5576,922.25,1,1,0
1.0928,0.0091865,-0.11631,1,-57.5,4.5314,924.75,1,1,1
1.128,-0.01378,-0.10491,1,-57.0,1.4266,924.75,1,1,1
0.82312,0.65224,0.33981,1,-57.0,0.11351,921.25,1,1,0
0.28376,1.0082,0.020525,1,-59.0,5.0575,924.25,1,1,0
1.0928,0.0091865,-0.11631,1,-57.5,0.95874,925.25,1,1,1
0.2603,0.98526,0.066138,1,-64.0,0.60592,924.25,1,1,0
0.31893,0.95081,0.10035,1,-62.5,2.0601,922.75,1,1,0
0.34238,0.96229,0.054735,1,-59.0,5.9549,923.25,1,1,0
1.0342,0.043636,-0.15052,1,-56.0,0.62433,922.25,1,1,1
1.3039,-0.10565,-0.03649,1,-58.0,0.58598,925.75,1,1,1
1.0576,0.02067,-0.15052,1,-55.5,5.125,920.75,1,1,1
1.1632,-0.025263,-0.093505,1,-55.5,5.6512,920.25,1,1,1
1.3508,-0.094162,-0.03649,1,-55.5,4.7139,921.25,1,1,1
1.1514,-0.025263,-0.10491,1,-56.0,5.5898,920.25,1,1,1
0.24858,0.98526,0.088944,1,-63.5,1.3146,923.25,1,1,0
1.2335,-0.071196,-0.070699,1,-57.5,1.0677,925.25,1,1,1
1.0107,0.055119,-0.17333,1,-56.0,5.6098,920.25,1,1,1
0.47136,0.89339,0.16876,1,-62.0,1.2732,923.75,1,1,0
0.50654,0.91636,0.12315,1,-59.0,5.1312,924.25,1,1,0
-0.12663,0.99674,0.0091224,1,-64.0,0.5507,923.75,1,1,0
0.2134,1.0312,-0.025087,1,-60.5,0.69489,925.75,1,1,0
1.0576,0.032153,-0.13912,1,-56.0,0.047553,922.75,1,1,1
0.17823,1.0312,-0.047893,1,-59.5,0.68109,922.25,1,1,0
0.82312,0.65224,0.33981,1,-58.5,5.9687,924.25,1,1,0
1.1514,0.16995,-0.29876,1,-59.0,1.8346,922.75,1,1,1
0.2134,0.99674,0.066138,1,-66.0,4.108,920.25,1,1,0
1.2687,-0.082679,-0.047893,1,-57.0,1.491,924.75,1,1,1
1.0225,0.043636,-0.16192,1,-56.5,5.8337,923.25,1,1,1
1.0342,0.02067,-0.17333,1,-56.0,6.0838,923.25,1,1,1
0.34238,0.96229,0.043332,1,-59.0,5.0744,924.25,1,1,0
1.2452,-0.082679,-0.059296,1,-56.5,5.0192,924.25,1,1,1
1.0928,0.02067,-0.13912,1,-58.0,0.97408,925.25,1,1,1
1.339,-0.12861,-0.047893,1,-56.0,5.6558,920.25,1,1,1
1.1632,-0.025263,-0.093505,1,-55.5,5.6435,920.25,1,1,1
0.34238,0.96229,0.054735,1,-59.0,5.9549,923.25,1,1,0
-0.36114,0.95081,-0.0022806,1,-64.0,6.2663,921.25,1,1,0
1.1045,-0.0022966,-0.12771,1,-56.5,5.013,924.25,1,1,1
0.98728,0.089569,-0.11631,1,-56.0,6.1114,923.25,1,1,1
1.0576,0.032153,-0.13912,1,-56.0,5.6987,920.25,1,1,1
0.18995,1.0312,-0.025087,1,-59.0,1.1934,921.75,1,1,0
0.64724,0.85894,0.066138,1,-67.5,2.0402,923.75,1,1,0
0.22513,1.0197,-0.013684,1,-59.0,1.3652,921.75,1,1,0
0.23685,1.0312,-0.025087,1,-58.5,1.8178,921.25,1,1,0
0.30721,0.97377,0.020525,1,-58.5,0.69489,922.25,1,1,0
0.2603,0.99674,-0.0022806,1,-59.0,1.2042,921.75,1,1,0
0.82312,0.65224,0.33981,1,-60.0,5.8966,925.25,1,1,0
1.1514,-0.01378,-0.082102,1,-57.5,0.96641,925.25,1,1,1
1.0576,0.0091865,-0.16192,1,-57.0,0.51849,925.75,1,1,1
1.2921,-0.094162,-0.047893,1,-55.5,1.5769,921.25,1,1,1
0.24858,1.0312,-0.0022806,1,-58.5,0.39117,922.75,1,1,0
0.47136,0.89339,0.16876,1,-62.5,0.25924,924.75,1,1,0
0.1665,1.0082,0.10035,1,-59.0,5.441,922.75,1,1,0
1.2921,-0.094162,-0.047893,1,-55.5,1.5769,921.25,1,1,1
1.2452,-0.082679,-0.059296,1,-56.5,5.0192,924.25,1,1,1
